"No","Column Name","Line No","Line Length","Intersection Grids","No Points","Points"
"","","","","L","Point 1-1","(1766.235522723, 705.688161983, 0.000000000)"
"","","Line 6-6","0.98","","",""
"","","","","13","Point 1-1","(1768.450013214, 705.196035999, 0.000000000)"
"","Total Line Length","=","10.4977490574211","","",""
"13","Cm 250x250/250X250mm","","","","",""
"","","Line 6-1","1.64","","",""
"","","Line 6-2","1.64","","",""
"","","Line 6-3","0.98","","",""
"","","","","K","Point 1-1","(1775.257755996, 698.305802916, 0.000000000)"
"","","Line 6-4","2.62","","",""
"","","","","14","Point 1-1","(1775.667860983, 696.173726288, 0.000000000)"
"","","Line 6-5","2.62","","",""
"","","","","K","Point 1-1","(1775.257755996, 695.681600303, 0.000000000)"
"","","Line 6-6","0.98","","",""
"","","","","14","Point 1-1","(1773.043189067, 696.173726288, 0.000000000)"
"","Total Line Length","=","10.4977490574211","","",""
"14","Cm 250x250/250X250mm","","","","",""
"","","Line 6-1","0.98","","",""
"","","","","14","Point 1-1","(1768.450013214, 696.173726288, 0.000000000)"
"","","Line 6-2","2.62","","",""
"","","","","L","Point 1-1","(1766.235522723, 695.681600303, 0.000000000)"
"","","Line 6-3","2.62","","",""
"","","","","14","Point 1-1","(1765.825341298, 696.173726288, 0.000000000)"
"","","Line 6-4","0.98","","",""
"","","","","L","Point 1-1","(1766.235522723, 698.305802916, 0.000000000)"
"","","Line 6-5","1.64","","",""
"","","Line 6-6","1.64","","",""
"","Total Line Length","=","10.4977490574211","","",""
"15","C2 500mm","","","","",""
"","","Line 2-1","2.58","","",""
"","","","","16","Point 3-1","(1790.456686108, 686.579157261, 0.000000000)"
"","","","","16","Point 3-2","(1788.816266161, 686.579157261, 0.000000000)"
"","","","","H","Point 3-3","(1789.636476134, 687.399367235, 0.000000000)"
"","","Line 2-2","2.58","","",""
"","","","","16","Point 3-1","(1790.456686108, 686.579157261, 0.000000000)"
"","","","","16","Point 3-2","(1788.816266161, 686.579157261, 0.000000000)"
"","","","","H","Point 3-3","(1789.636476134, 685.758947288, 0.000000000)"
"","Total Line Length","=","5.15353125588868","","",""
"16","C2 500mm","","","","",""
"","","Line 2-1","2.58","","",""
"","","","","16","Point 3-1","(1808.451214336, 686.579157261, 0.000000000)"
"","","","","16","Point 3-2","(1806.810794389, 686.579157261, 0.000000000)"
"","","","","D","Point 3-3","(1807.631004362, 687.399367235, 0.000000000)"
"","","Line 2-2","2.58","","",""
"","","","","16","Point 3-1","(1808.451214336, 686.579157261, 0.000000000)"
"","","","","16","Point 3-2","(1806.810794389, 686.579157261, 0.000000000)"
"","","","","D","Point 3-3","(1807.631004362, 685.758947288, 0.000000000)"
"","Total Line Length","=","5.15353125588868","","",""
"17","C2 500mm","","","","",""
"","","Line 2-1","2.58","","",""
"","","","","5","Point 2-1","(1759.647313427, 753.089117564, 0.000000000)"
"","","","","5","Point 2-2","(1758.006893480, 753.089117564, 0.000000000)"
"","","Line 2-2","2.58","","",""
"","","","","5","Point 2-1","(1759.647313427, 753.089117564, 0.000000000)"
"","","","","5","Point 2-2","(1758.006893480, 753.089117564, 0.000000000)"
"","Total Line Length","=","5.15353125588868","","",""
"18","C2 500mm","","","","",""
"","","Line 2-1","2.58","","",""
"","","","","9","Point 2-1","(1759.647313427, 736.863321888, 0.000000000)"
"","","","","9","Point 2-2","(1758.006893480, 736.863321888, 0.000000000)"
"","","Line 2-2","2.58","","",""
"","","","","9","Point 2-1","(1759.647313427, 736.863321888, 0.000000000)"
"","","","","9","Point 2-2","(1758.006893480, 736.863321888, 0.000000000)"
"","Total Line Length","=","5.15353125588868","","",""
"19","C1 400mm","","","","",""
"","","Line 2-1","2.06","","",""
"","","","","8","Point 2-1","(1751.737138392, 738.496560933, 0.000000000)"
"","","","","8","Point 2-2","(1750.424802434, 738.496560933, 0.000000000)"
"","","Line 2-2","2.06","","",""
"","","","","8","Point 2-1","(1751.737138392, 738.496560933, 0.000000000)"
"","","","","8","Point 2-2","(1750.424802434, 738.496560933, 0.000000000)"
"","Total Line Length","=","4.12282500471092","","",""
"20","C1 400mm","","","","",""
"","","Line 2-1","2.06","","",""
"","","","","6","Point 2-1","(1751.737138392, 751.455878519, 0.000000000)"
"","","","","6","Point 2-2","(1750.424802434, 751.455878519, 0.000000000)"
"","","Line 2-2","2.06","","",""
"","","","","6","Point 2-1","(1751.737138392, 751.455878519, 0.000000000)"
"","","","","6","Point 2-2","(1750.424802434, 751.455878519, 0.000000000)"
"","Total Line Length","=","4.12282500471092","","",""
"21","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","7","Point 3-1","(1784.034002716, 744.976219726, 0.000000000)"
"","","","","7","Point 3-2","(1782.065498779, 744.976219726, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 745.960471695, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","7","Point 3-1","(1784.034002716, 744.976219726, 0.000000000)"
"","","","","7","Point 3-2","(1782.065498779, 744.976219726, 0.000000000)"
"","","","","J","Point 3-3","(1783.049750747, 743.991967758, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"22","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","7","Point 3-1","(1799.617992217, 744.976219726, 0.000000000)"
"","","","","7","Point 3-2","(1797.649488280, 744.976219726, 0.000000000)"
"","","","","F","Point 3-3","(1798.633740248, 745.960471695, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","7","Point 3-1","(1799.617992217, 744.976219726, 0.000000000)"
"","","","","7","Point 3-2","(1797.649488280, 744.976219726, 0.000000000)"
"","","","","F","Point 3-3","(1798.633740248, 743.991967758, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"23","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","7","Point 3-1","(1815.201981718, 744.976219726, 0.000000000)"
"","","","","7","Point 3-2","(1813.233477781, 744.976219726, 0.000000000)"
"","","","","B","Point 3-3","(1814.217729750, 745.960471695, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","7","Point 3-1","(1815.201981718, 744.976219726, 0.000000000)"
"","","","","7","Point 3-2","(1813.233477781, 744.976219726, 0.000000000)"
"","","","","B","Point 3-3","(1814.217729750, 743.991967758, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"24","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","11","Point 3-1","(1799.617992217, 725.537243348, 0.000000000)"
"","","","","11","Point 3-2","(1797.649488280, 725.537243348, 0.000000000)"
"","","","","F","Point 3-3","(1798.633740248, 726.521495317, 0.000000000)"
"","","Line 2-2","3.09","","",""
"","","","","11","Point 3-1","(1799.617992217, 725.537243348, 0.000000000)"
"","","","","11","Point 3-2","(1797.649488280, 725.537243348, 0.000000000)"
"","","","","F","Point 3-3","(1798.633740248, 724.552991380, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"25","C3 600mm","","","","",""
"","","Line 4-1","1.21","","",""
"","","","","11","Point 1-1","(1813.233477781, 725.537243348, 0.000000000)"
"","","Line 4-2","1.88","","",""
"","","","","11","Point 2-1","(1815.201981718, 725.537243348, 0.000000000)"
"","","","","B","Point 2-2","(1814.217729750, 726.521495317, 0.000000000)"
"","","Line 4-3","1.22","","",""
"","","","","11","Point 1-1","(1815.201981718, 725.537243348, 0.000000000)"
"","","Line 4-4","1.87","","",""
"","","","","11","Point 2-1","(1813.233477781, 725.537243348, 0.000000000)"
"","","","","B","Point 2-2","(1814.217729750, 724.552991380, 0.000000000)"
"","Total Line Length","=","6.18423750706643","","",""
"26","C3 600mm","","","","",""
"","","Line 2-1","3.09","","",""
"","","","","11","Point 3-1","(1784.034002716, 725.537243348, 0.000000000)"
